sp,lon,lat
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.73522,-9.66604
"Picumnus exilis undulatus Hargitt, 1889",-61.4464,3.3821
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.18597,-14.34807
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.91134,3.81509
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.02468,-14.32092
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.18398,-14.26017
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.98935,-3.09639
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.69427,5.15101
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-50.88801,0.29008
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.05174,-14.29362
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.91464,3.82766
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.97455,3.96649
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.06935,-14.2686
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.43066,2.46145
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.41277,2.48071
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.4155,2.43486
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.41542,2.435
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.93982,-3.00741
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-51.28795,-0.11417
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.19528,-8.65103
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.84087,-8.72023
"Picumnus exilis undulatus Hargitt, 1889",-61.12654,1.82251
"Picumnus exilis undulatus Hargitt, 1889",-61.12629,1.82186
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.68006,5.07191
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.20887,3.62343
